124.5935 97.47903 162.1103 99.41755 24.69527
53.45359 45.97435 45.77943 59.56267 59.69352
88.05391 72.64557 128.791 68.40154 41.07469
111.9848 135.1923 114.5216 93.86026 136.3388
79.46093 177.472 80.14331 85.523 114.5038
89.12355 118.0984 77.97824 33.50975 80.98943
95.85177 126.0236 130.4199 131.5393 221.2225
11.0898 46.75108 46.93089 102.2602 178.1875
21.40584 35.14494 148.891 119.1887 88.18015
66.90628 131.0789 62.36474 112.5218 116.0457
39.37293 189.4454 140.3182 98.66299 -94.08315
46.47299 263.2025 119.8781 41.83226 97.36666
113.9679 84.28348 44.90488 36.1417 123.6073
107.1575 27.36826 87.06228 117.51 76.84119
120.8005 13.75656 149.7806 90.63073 107.3084
118.8566 68.71677 128.0889 127.0419 74.56264
104.067 143.6218 50.323 91.97591 29.09092
16.87727 99.00487 91.05044 114.1464 106.1728
74.30266 123.942 148.3645 129.2267 81.58023
64.87063 162.3605 70.53666 106.7035 32.015
